"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4752","Успешное создание аккаунта","tests","2026-06-11","passed","2026-06-11","TestRegistration","test_registration","",""
"Авторизованный пользователь заполняет форму и создаёт рецепт","5042","Успешное создание рецепта","tests","2026-06-11","passed","2026-06-11","TestCreateRecipe","test_create_recipe","",""
"","8666","Успешная авторизация пользователя","tests","2026-06-11","passed","2026-06-11","TestLogin","test_login","",""
