"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизованный пользователь заполняет форму и создаёт рецепт","2990","Успешное создание рецепта","tests","2026-06-09","passed","2026-06-09","TestCreateRecipe","test_create_recipe","",""
"","8628","Успешная авторизация пользователя","tests","2026-06-09","passed","2026-06-09","TestLogin","test_login","",""
"","4563","Успешное создание аккаунта","tests","2026-06-09","passed","2026-06-09","TestRegistration","test_registration","",""
